name,price,type,efficiency,wattage,modular,color,snapshot_date
Corsair AX860i,399.99,ATX,platinum,860,Full,,2023-08-06
SeaSonic Prime Fanless PX-500,275.38,ATX,platinum,500,Full,Black,2023-08-06
FSP Group Hyper M85+,125.0,ATX,bronze,650,Semi,Black,2023-08-06
Silverstone Strider Platinum,129.99,ATX,platinum,650,Full,,2023-08-06
Super Flower Leadex III Gold,104.99,ATX,gold,550,Full,Black,2023-08-06
Apex AL-8250SFX,77.55,SFX,,250,False,,2023-08-06
Silverstone Strider,99.99,ATX,bronze,700,Full,,2023-08-06
Silverstone SX650-G,133.34,SFX,gold,650,Full,,2023-08-06
Asus ROG Strix Aura Edition,320.91,ATX,gold,750,Full,Black,2023-08-06
Silverstone NJ700,319.89,ATX,titanium,700,Full,Silver,2023-08-06
Silverstone Strider Titanium,329.99,ATX,titanium,1100,Full,Black / Blue,2023-08-06
CoolMax ZX-600,84.54,ATX,plus,600,False,,2023-08-06
CoolMax ZU-1000B,131.09,ATX,bronze,1000,Semi,,2023-08-06
Corsair VX550,197.73,ATX,plus,550,False,,2023-08-06
Silverstone Strider,315.99,ATX,silver,1500,False,,2023-08-06
SeaSonic PRIME Ultra Platinum 750,197.98,ATX,platinum,750,Full,Black,2023-08-06
CoolMax V-500,29.78,ATX,,500,False,,2023-08-06
LEPA MaxBron,109.99,ATX,bronze,1000,Semi,,2023-08-06
Xilence XP750MR9,122.39,ATX,gold,750,Semi,Black / Red,2023-08-06
Rosewill CFZ,99.9,ATX,bronze,750,Semi,Black,2023-08-06
EVGA 710 BP,138.5,ATX,bronze,710,False,Black,2023-08-06
FSP Group FSP500-50FSPT,198.99,Flex ATX,platinum,500,False,,2023-08-06
Asus ROG THOR P2 Gaming,199.99,ATX,platinum,850,Full,Black / Silver,2023-08-06
Thermaltake Hamburg,88.19,ATX,plus,530,False,Black,2023-08-06
Silverstone Strider Platinum,149.59,ATX,platinum,550,Full,,2023-08-06
Thermaltake TR2 S,192.19,ATX,plus,700,False,Black,2023-08-06
Rosewill LEPTON 600,119.0,ATX,gold,600,Semi,Black,2023-08-06
Enermax Platimax,399.99,ATX,platinum,1350,Full,Black,2023-08-06
PC Power & Cooling PM0600,99.99,ATX,bronze,600,Semi,Black / Red,2023-08-06
Super Flower Leadex V Pro,249.99,ATX,gold,1000,Full,Black / Gold,2023-08-06
Corsair HX850,124.99,ATX,platinum,850,Full,Black,2023-08-06
SHARKOON SilentStorm,120.5,SFX,gold,500,Full,Black,2023-08-06
Xilence XP550R9,142.0,ATX,gold,550,False,Black / Red,2023-08-06
Cooler Master V1300 Platinum,445.9,ATX,platinum,1300,Full,Black,2023-08-06
Silverstone TX500-G,149.99,TFX,gold,500,False,Black,2023-08-06
Sparkle FSP300-60ATV,59.99,ATX,,300,False,,2023-08-06
SeaSonic PRIME PX,390.0,ATX,platinum,850,Full,Black / Silver,2023-08-06
Corsair RM550x (2018),199.99,ATX,gold,550,Full,Black / Silver,2023-08-06
Antec NeoECO,84.5,ATX,bronze,550,Semi,Black,2023-08-06
Thermaltake Smart RGB 230V,161.0,ATX,plus,600,False,Black,2023-08-06
Antec VP PLUS,146.3,ATX,plus,650,False,,2023-08-06
Cooler Master XG650 Plus,187.99,ATX,platinum,650,Full,Black,2023-08-06
Thermaltake Toughpower iRGB PLUS 750,219.99,ATX,gold,750,Full,Black,2023-08-06
SeaSonic SS-300TFX Bronze,62.9,TFX,bronze,300,False,,2023-08-06
Fractal Design Anode Bronze,172.0,SFX,bronze,450,False,Black,2023-08-06
