name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,snapshot_date,microarchitecture
Intel Celeron G540,69.98,2,2.5,,65,Intel HD Graphics,False,2023-08-06,
Intel Pentium G630T,75.0,2,2.3,,35,Intel HD Graphics,False,2023-08-06,
Intel Xeon E3-1245 V5,399.0,4,3.5,3.9,80,Intel HD Graphics P530,True,2023-08-06,
Intel Xeon E5-2609 V4,366.92,8,1.7000000000000002,,85,,False,2023-08-06,
Intel Pentium E5300,79.4,2,2.6,,65,,False,2023-08-06,
Intel Core i3-7300T,125.36,2,3.5,,35,Intel HD Graphics 630,True,2023-08-06,
Intel Xeon E3-1230 V2,295.42,4,3.3,,69,,True,2023-08-06,
Intel Pentium G3460,64.48,2,3.5,,53,Intel HD Graphics,False,2023-08-06,
Intel Celeron E3300,64.78,2,2.5,,65,,False,2023-08-06,
Intel Core 2 Extreme QX6850,449.95,4,3.0,,130,,False,2023-08-06,
Intel Xeon E3-1275,376.99,4,3.4,,95,Intel HD Graphics,True,2023-08-06,
Intel Xeon E5-2603 V3,104.61,6,1.6,,85,,False,2023-08-06,
Intel Xeon E5-1620 V4,183.01,4,3.5,3.8,140,,True,2023-08-06,
Intel Core i5-7640X,225.4,4,4.0,4.2,112,,False,2023-08-06,
Intel Xeon E5-2470V2,529.95,10,2.4,3.2,95,,True,2023-08-06,
Intel Xeon E3-1270 V6,719.95,4,3.8,4.2,72,,True,2023-08-06,
Intel Xeon E-2126G,840.28,6,3.3,4.5,80,Intel HD Graphics P630,False,2023-08-06,
Intel Core 2 Duo E4600,104.04,2,2.4,,65,,False,2023-08-06,
Intel Pentium E6500,95.71,2,2.93,,65,,False,2023-08-06,
Intel Core 2 Duo E6550,149.94,2,2.33,,65,,False,2023-08-06,
Intel Core i5-750S,125.0,4,2.4,,82,,False,2023-08-06,
Intel Xeon E3-1235,219.0,4,3.2,,95,Intel HD Graphics,True,2023-08-06,
Intel Pentium G2140,45.0,2,3.3,,55,Intel HD Graphics,False,2023-08-06,
Intel Xeon E3-1220 V6,398.95,4,3.0,3.5,72,,False,2023-08-06,
Intel Xeon E-2174G,549.95,4,3.8,4.7,71,Intel HD Graphics P630,True,2023-08-06,
Intel Xeon E-2176G,505.08,6,3.7,4.7,80,Intel HD Graphics P630,True,2023-08-06,
Intel Xeon E3-1245 V6,589.95,4,3.7,4.1,73,Intel HD Graphics P630,True,2023-08-06,
Intel Core 2 Duo E4300,95.0,2,1.8,,65,,False,2023-08-06,
Intel Core 2 Duo E4400,108.0,2,2.0,,65,,False,2023-08-06,
Intel Core 2 Duo E8300,119.95,2,2.83,,65,,False,2023-08-06,
Intel Core 2 Extreme X6800,499.95,2,2.93,,75,,False,2023-08-06,
Intel Pentium G3470,61.57,2,3.6,,53,Intel HD Graphics,False,2023-08-06,
Intel Xeon E3-1220 V5,354.97,4,3.0,3.5,80,,False,2023-08-06,
Intel Pentium G4620,229.88,2,3.7,,51,Intel HD Graphics 630,True,2023-08-06,
Intel Xeon E3-1280 V6,550.0,4,3.9,4.2,72,,True,2023-08-06,
Intel Xeon E5-2620,139.94,6,2.0,,95,,True,2023-08-06,
Intel Xeon E-2146G,912.83,6,3.5,4.5,80,Intel HD Graphics P630,True,2023-08-06,
Intel Celeron 440,34.99,1,2.0,,35,,False,2023-08-06,
Intel Pentium E5300,79.4,2,2.6,,65,,False,2023-08-06,
Intel Core 2 Duo E6420,149.94,2,2.13,,65,,False,2023-08-06,
Intel Pentium G640T,84.88,2,2.4,,35,Intel HD Graphics,False,2023-08-06,
Intel Xeon E5-2603 V4,399.99,6,1.7000000000000002,,85,,False,2023-08-06,
AMD Pro A10-7850B,148.02,4,3.7,4.0,95,Radeon R7 (on-die),False,2023-08-06,
Intel Xeon E-2146G,792.23,6,3.5,4.5,80,Intel HD Graphics P630,True,2023-08-06,
Intel Xeon E5-2603,98.95,4,1.8,,80,,False,2023-08-06,
Intel Xeon E-2134,692.23,4,3.5,4.5,71,,True,2023-08-06,
Intel Core 2 Duo E6400,129.94,2,2.13,,65,,False,2023-08-06,
Intel Core 2 Duo E6700,194.95,2,2.66,,65,,False,2023-08-06,
AMD Phenom II X4 975,172.56,4,3.6,,125,,False,2023-08-06,
AMD A4-3400,134.09,2,2.7,,65,Radeon HD 6410D,False,2023-08-06,
Intel Xeon E3-1245,245.0,4,3.3,,95,Intel HD Graphics,True,2023-08-06,
Intel Pentium G3430,61.57,2,3.3,,54,Intel HD Graphics,False,2023-08-06,
Intel Xeon E5-2620,80.0,6,2.0,,95,,True,2023-08-06,
